num__PassengerId
num__Survived
num__Age
num__Fare
cat__Name_Abbott, Mrs. Stanton (Rosa Hunt)
cat__Name_Garside, Miss. Ethel
cat__Name_Gavey, Mr. Lawrence
cat__Name_Gill, Mr. John William
cat__Name_Gillespie, Mr. William Henry
cat__Name_Glynn, Miss. Mary Agatha
cat__Name_Goodwin, Mrs. Frederick (Augusta Tyler)
cat__Name_Graham, Miss. Margaret Edith
cat__Name_Graham, Mr. George Edward
cat__Name_Greenberg, Mr. Samuel
cat__Name_Gronnestad, Mr. Daniel Danielsen
cat__Name_Gustafsson, Mr. Anders Vilhelm
cat__Name_Gustafsson, Mr. Johan Birger
cat__Name_Gustafsson, Mr. Karl Gideon
cat__Name_Haas, Miss. Aloisia
cat__Name_Hagland, Mr. Ingvald Olai Olsen
cat__Name_Hagland, Mr. Konrad Mathias Reiersen
cat__Name_Hampe, Mr. Leon
cat__Name_Hansen, Mr. Claus Peter
cat__Name_Hansen, Mr. Henry Damsgaard
cat__Name_Harper, Rev. John
cat__Name_Harris, Mrs. Henry Birkhardt (Irene Wallach)
cat__Name_Harrison, Mr. William
cat__Name_Hart, Mr. Benjamin
cat__Name_Hart, Mr. Henry
cat__Name_Hawksford, Mr. Walter James
cat__Name_Hays, Miss. Margaret Bechstein
cat__Name_Heininen, Miss. Wendla Maria
cat__Name_Herman, Miss. Alice
cat__Name_Herman, Mrs. Samuel (Jane Laver)
cat__Name_Hewlett, Mrs. (Mary D Kingcome) 
cat__Name_Hickman, Mr. Lewis
cat__Name_Hirvonen, Miss. Hildur E
cat__Name_Hold, Mr. Stephen
cat__Name_Holm, Mr. John Fredrik Alexander
cat__Name_Holverson, Mr. Alexander Oskar
cat__Name_Holverson, Mrs. Alexander Oskar (Mary Aline Towner)
cat__Name_Honkanen, Miss. Eliina
cat__Name_Horgan, Mr. John
cat__Name_Hosono, Mr. Masabumi
cat__Name_Hoyt, Mr. Frederick Maxfield
cat__Name_Ilmakangas, Miss. Pieta Sofia
cat__Name_Isham, Miss. Ann Elizabeth
cat__Name_Ivanoff, Mr. Kanio
cat__Name_Jacobsohn, Mr. Sidney Samuel
cat__Name_Jansson, Mr. Carl Olof
cat__Name_Jermyn, Miss. Annie
cat__Name_Johannesen-Bratthammer, Mr. Bernt
cat__Name_Johansson, Mr. Karl Johan
cat__Name_Johnson, Miss. Eleanor Ileen
cat__Name_Johnson, Mr. Alfred
cat__Name_Johnston, Miss. Catherine Helen "Carrie"
cat__Name_Johnston, Mr. Andrew G
cat__Name_Jussila, Miss. Mari Aina
cat__Name_Jussila, Mr. Eiriik
cat__Name_Karaic, Mr. Milan
cat__Name_Karun, Miss. Manca
cat__Name_Kassem, Mr. Fared
cat__Name_Kelly, Miss. Mary
cat__Name_Kelly, Mrs. Florence "Fannie"
cat__Name_Kent, Mr. Edward Austin
cat__Name_Laitinen, Miss. Kristina Sofia
cat__Name_Laleff, Mr. Kristo
cat__Name_Landergren, Miss. Aurora Adelia
cat__Name_Lang, Mr. Fang
cat__Name_LeRoy, Miss. Bertha
cat__Name_Leeni, Mr. Fahim ("Philip Zenni")
cat__Name_Lehmann, Miss. Bertha
cat__Name_Leinonen, Mr. Antti Gustaf
cat__Name_Lester, Mr. James
cat__Name_Lindblom, Miss. Augusta Charlotta
cat__Name_Lindqvist, Mr. Eino William
cat__Name_Lobb, Mr. William Arthur
cat__Name_Lobb, Mrs. William Arthur (Cordelia K Stanlick)
cat__Name_Lurette, Miss. Elise
cat__Name_Madsen, Mr. Fridtjof Arne
cat__Name_Mamee, Mr. Hanna
cat__Name_Markoff, Mr. Marin
cat__Name_Mayne, Mlle. Berthe Antonine ("Mrs de Villiers")
cat__Name_McCarthy, Mr. Timothy J
cat__Name_McGowan, Miss. Anna "Annie"
cat__Name_McMahon, Mr. Martin
cat__Name_Meanwell, Miss. (Marion Ogden)
cat__Name_Meek, Mrs. Thomas (Annie Louise Rowley)
cat__Name_Mellinger, Mrs. (Elizabeth Anne Maidment)
cat__Name_Meo, Mr. Alfonzo
cat__Name_Milling, Mr. Jacob Christian
cat__Name_Mitchell, Mr. Henry Michael
cat__Name_Molson, Mr. Harry Markland
cat__Name_Moor, Master. Meier
cat__Name_Morley, Mr. William
cat__Name_Morrow, Mr. Thomas Rowan
cat__Name_Mudd, Mr. Thomas Charles
cat__Name_Murphy, Miss. Katherine "Kate"
cat__Name_Myhrman, Mr. Pehr Fabian Oliver Malkolm
cat__Name_Nasser, Mr. Nicholas
cat__Name_Natsch, Mr. Charles H
cat__Name_Navratil, Master. Michel M
cat__Name_Nenkoff, Mr. Christo
cat__Name_Nicholls, Mr. Joseph Charles
cat__Name_Norman, Mr. Robert Douglas
cat__Name_O'Brien, Mr. Timothy
cat__Name_O'Connell, Mr. Patrick D
cat__Name_O'Dwyer, Miss. Ellen "Nellie"
cat__Name_Olsen, Mr. Henry Margido
cat__Name_Olsen, Mr. Karl Siegwart Andreas
cat__Name_Olsen, Mr. Ole Martin
cat__Name_Osman, Mrs. Mara
cat__Name_Padro y Manent, Mr. Julian
cat__Name_Palsson, Miss. Stina Viola
cat__Name_Panula, Mr. Jaako Arnold
cat__Name_Pears, Mr. Thomas Clinton
cat__Name_Perreault, Miss. Anne
cat__Name_Peter, Miss. Anna
cat__Name_Pettersson, Miss. Ellen Natalia
cat__Name_Phillips, Miss. Kate Florence ("Mrs Kate Louise Phillips Marshall")
cat__Name_Quick, Miss. Phyllis May
cat__Name_Radeff, Mr. Alexander
cat__Name_Renouf, Mr. Peter Henry
cat__Name_Rice, Master. Eric
cat__Name_Rice, Master. Eugene
cat__Name_Rice, Master. George Hugh
cat__Name_Richards, Master. George Sibley
cat__Name_Richards, Master. William Rowe
cat__Name_Richards, Mrs. Sidney (Emily Hocking)
cat__Name_Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)
cat__Name_Roebling, Mr. Washington Augustus II
cat__Name_Romaine, Mr. Charles Hallace ("Mr C Rolmane")
cat__Name_Rommetvedt, Mr. Knud Paust
cat__Name_Rood, Mr. Hugh Roscoe
cat__Name_Ross, Mr. John Hugo
cat__Name_Rugg, Miss. Emily
cat__Name_Rush, Mr. Alfred George John
cat__Name_Sage, Mr. Douglas Bullen
cat__Name_Sage, Mr. Frederick
cat__Name_Salkjelsvik, Miss. Anna Kristine
cat__Name_Salonen, Mr. Johan Werner
cat__Name_Sedgwick, Mr. Charles Frederick Waddington
cat__Name_Shellard, Mr. Frederick William
cat__Name_Shorney, Mr. Charles Joseph
cat__Name_Silverthorne, Mr. Spencer Victor
cat__Name_Sivic, Mr. Husein
cat__Name_Sjoblom, Miss. Anna Sofia
cat__Name_Skoog, Mrs. William (Anna Bernhardina Karlsson)
cat__Name_Slabenoff, Mr. Petco
cat__Name_Slemen, Mr. Richard James
cat__Name_Smart, Mr. John Montgomery
cat__Name_Smith, Mr. Richard William
cat__Name_Sobey, Mr. Samuel James Hayden
cat__Name_Soholt, Mr. Peter Andreas Lauritz Andersen
cat__Name_Somerton, Mr. Francis William
cat__Name_Stahelin-Maeglin, Dr. Max
cat__Name_Stankovic, Mr. Ivan
cat__Name_Stanley, Miss. Amy Zillah Elsie
cat__Name_Stewart, Mr. Albert A
cat__Name_Stoytcheff, Mr. Ilia
cat__Name_Strandberg, Miss. Ida Sofia
cat__Name_Stranden, Mr. Juho
cat__Name_Sundman, Mr. Johan Julian
cat__Name_Svensson, Mr. Johan
cat__Name_Thayer, Mr. John Borland Jr
cat__Name_Thomas, Master. Assad Alexander
cat__Name_Thorneycroft, Mrs. Percival (Florence Kate White)
cat__Name_Tobin, Mr. Roger
cat__Name_Toomey, Miss. Ellen
cat__Name_Tornquist, Mr. William Henry
cat__Name_Troupiansky, Mr. Moses Aaron
cat__Name_Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)
cat__Name_Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)
cat__Name_Van der hoef, Mr. Wyckoff
cat__Name_Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)
cat__Name_Vestrom, Miss. Hulda Amanda Adolfina
cat__Name_Waelens, Mr. Achille
cat__Name_Watson, Mr. Ennis Hastings
cat__Name_Webber, Miss. Susan
cat__Name_Webber, Mr. James
cat__Name_Weir, Col. John
cat__Name_Wells, Miss. Joan
cat__Name_West, Mr. Edwy Arthur
cat__Name_West, Mrs. Edwy Arthur (Ada Mary Worth)
cat__Name_Wick, Mrs. George Dennick (Mary Hitchcock)
cat__Name_Widegren, Mr. Carl/Charles Peter
cat__Name_Williams, Mr. Leslie
cat__Name_Windelov, Mr. Einar
cat__Name_Youseff, Mr. Gerious
cat__Name_Zabour, Miss. Hileni
cat__Name_de Pelsmaeker, Mr. Alfons
cat__Sex_male
cat__Ticket_110152
cat__Ticket_110413
cat__Ticket_111240
cat__Ticket_111428
cat__Ticket_112050
cat__Ticket_112059
cat__Ticket_112379
cat__Ticket_113501
cat__Ticket_113510
cat__Ticket_113767
cat__Ticket_113773
cat__Ticket_113776
cat__Ticket_113783
cat__Ticket_113787
cat__Ticket_113789
cat__Ticket_113798
cat__Ticket_113800
cat__Ticket_113804
cat__Ticket_113806
cat__Ticket_11668
cat__Ticket_11751
cat__Ticket_11967
cat__Ticket_12749
cat__Ticket_13214
cat__Ticket_13507
cat__Ticket_14311
cat__Ticket_14312
cat__Ticket_14313
cat__Ticket_1601
cat__Ticket_16966
cat__Ticket_16988
cat__Ticket_17421
cat__Ticket_17453
cat__Ticket_17463
cat__Ticket_17466
cat__Ticket_19928
cat__Ticket_19950
cat__Ticket_218629
cat__Ticket_223596
cat__Ticket_230080
cat__Ticket_230136
cat__Ticket_230434
cat__Ticket_233639
cat__Ticket_233866
cat__Ticket_236171
cat__Ticket_237798
cat__Ticket_239853
cat__Ticket_239855
cat__Ticket_243880
cat__Ticket_244361
cat__Ticket_248706
cat__Ticket_250648
cat__Ticket_250655
cat__Ticket_2620
cat__Ticket_2623
cat__Ticket_2625
cat__Ticket_2628
cat__Ticket_2629
cat__Ticket_2641
cat__Ticket_2647
cat__Ticket_2648
cat__Ticket_2649
cat__Ticket_2650
cat__Ticket_2651
cat__Ticket_2653
cat__Ticket_2666
cat__Ticket_2667
cat__Ticket_2668
cat__Ticket_26707
cat__Ticket_2671
cat__Ticket_2672
cat__Ticket_2678
cat__Ticket_2685
cat__Ticket_2687
cat__Ticket_2697
cat__Ticket_2699
cat__Ticket_2700
cat__Ticket_28134
cat__Ticket_28213
cat__Ticket_28228
cat__Ticket_28403
cat__Ticket_29011
cat__Ticket_2908
cat__Ticket_29105
cat__Ticket_2926
cat__Ticket_29751
cat__Ticket_3101264
cat__Ticket_3101265
cat__Ticket_3101267
cat__Ticket_3101277
cat__Ticket_3101278
cat__Ticket_3101295
cat__Ticket_312991
cat__Ticket_315089
cat__Ticket_315094
cat__Ticket_323592
cat__Ticket_323951
cat__Ticket_324669
cat__Ticket_330923
cat__Ticket_330931
cat__Ticket_334912
cat__Ticket_335097
cat__Ticket_34218
cat__Ticket_342826
cat__Ticket_343276
cat__Ticket_345572
cat__Ticket_345763
cat__Ticket_345764
cat__Ticket_345770
cat__Ticket_345777
cat__Ticket_347061
cat__Ticket_347062
cat__Ticket_347064
cat__Ticket_347077
cat__Ticket_347088
cat__Ticket_3474
cat__Ticket_347743
cat__Ticket_348121
cat__Ticket_348123
cat__Ticket_348124
cat__Ticket_349201
cat__Ticket_349205
cat__Ticket_349207
cat__Ticket_349213
cat__Ticket_349214
cat__Ticket_349225
cat__Ticket_349227
cat__Ticket_349234
cat__Ticket_349236
cat__Ticket_349242
cat__Ticket_349243
cat__Ticket_349244
cat__Ticket_349245
cat__Ticket_349247
cat__Ticket_349249
cat__Ticket_349254
cat__Ticket_349256
cat__Ticket_349257
cat__Ticket_350026
cat__Ticket_350034
cat__Ticket_350042
cat__Ticket_350043
cat__Ticket_350050
cat__Ticket_358585
cat__Ticket_363291
cat__Ticket_363294
cat__Ticket_364506
cat__Ticket_364511
cat__Ticket_364848
cat__Ticket_364849
cat__Ticket_365226
cat__Ticket_367228
cat__Ticket_367229
cat__Ticket_367230
cat__Ticket_36864
cat__Ticket_36866
cat__Ticket_36947
cat__Ticket_36967
cat__Ticket_370369
cat__Ticket_370373
cat__Ticket_370377
cat__Ticket_371060
cat__Ticket_371110
cat__Ticket_371362
cat__Ticket_376566
cat__Ticket_382651
cat__Ticket_382652
cat__Ticket_386525
cat__Ticket_392096
cat__Ticket_4579
cat__Ticket_5727
cat__Ticket_695
cat__Ticket_7540
cat__Ticket_7546
cat__Ticket_7552
cat__Ticket_8471
cat__Ticket_A./5. 3235
cat__Ticket_A/5 21171
cat__Ticket_A/5 2817
cat__Ticket_A/5 3902
cat__Ticket_A/5. 13032
cat__Ticket_A/5. 3336
cat__Ticket_C 17369
cat__Ticket_C 4001
cat__Ticket_C.A. 2315
cat__Ticket_C.A. 2673
cat__Ticket_C.A. 29566
cat__Ticket_C.A. 31026
cat__Ticket_C.A. 34260
cat__Ticket_C.A. 37671
cat__Ticket_C.A. 6212
cat__Ticket_F.C.C. 13529
cat__Ticket_F.C.C. 13531
cat__Ticket_P/PP 3381
cat__Ticket_PC 17475
cat__Ticket_PC 17482
cat__Ticket_PC 17569
cat__Ticket_PC 17582
cat__Ticket_PC 17593
cat__Ticket_PC 17595
cat__Ticket_PC 17604
cat__Ticket_PC 17610
cat__Ticket_PC 17755
cat__Ticket_PC 17757
cat__Ticket_PC 17758
cat__Ticket_PC 17760
cat__Ticket_S.C./PARIS 2079
cat__Ticket_S.O./P.P. 751
cat__Ticket_SC/AH Basle 541
cat__Ticket_SC/PARIS 2131
cat__Ticket_SC/PARIS 2133
cat__Ticket_SOTON/O.Q. 392087
cat__Ticket_SOTON/OQ 3101317
cat__Ticket_SOTON/OQ 392082
cat__Ticket_SOTON/OQ 392086
cat__Ticket_SOTON/OQ 392089
cat__Ticket_STON/O 2. 3101280
cat__Ticket_STON/O 2. 3101286
cat__Ticket_STON/O 2. 3101292
cat__Ticket_STON/O 2. 3101294
cat__Ticket_STON/O2. 3101279
cat__Ticket_STON/O2. 3101290
cat__Ticket_SW/PP 751
cat__Cabin_A10
cat__Cabin_A24
cat__Cabin_A36
cat__Cabin_B18
cat__Cabin_B20
cat__Cabin_B28
cat__Cabin_B4
cat__Cabin_B5
cat__Cabin_B51 B53 B55
cat__Cabin_B79
cat__Cabin_B82 B84
cat__Cabin_C103
cat__Cabin_C118
cat__Cabin_C124
cat__Cabin_C125
cat__Cabin_C2
cat__Cabin_C22 C26
cat__Cabin_C50
cat__Cabin_C54
cat__Cabin_C62 C64
cat__Cabin_C68
cat__Cabin_C7
cat__Cabin_C70
cat__Cabin_C83
cat__Cabin_C91
cat__Cabin_C92
cat__Cabin_C99
cat__Cabin_D
cat__Cabin_D20
cat__Cabin_D26
cat__Cabin_D35
cat__Cabin_D36
cat__Cabin_D45
cat__Cabin_D46
cat__Cabin_D49
cat__Cabin_E101
cat__Cabin_E121
cat__Cabin_E40
cat__Cabin_E46
cat__Cabin_E50
cat__Cabin_E58
cat__Cabin_E67
cat__Cabin_E8
cat__Cabin_F E69
cat__Cabin_F33
cat__Cabin_F38
cat__Cabin_T
